,web-scraper-order,Brand,Name,Model,Price,Average_Rating,Reviews,BatteryCapacity,Charging,Torch,Games,Messaging,Browser,Audio,Sensor,Data,NFC,USB,GPS,Bluetooth,WLAN,Front,Main,card,Built-In,Features,Protection,Resolution,Size,Technology,GPU,Chipset,CPU,4G Band,3G Band,2G Band,Color,SIM,Weight,Dimension,UI Build,Operating System,Unnamed: 42,as,Links-href,Name.1,Name-href,Avg_Rating,AverageRating,score
935,1541228250-19,Samsung Mobile,"Samsung
Galaxy J7",Galaxy J7,0,5 stars,2135.0,Price in Rs: Discontinued    Price in USD: $0,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm audio jack, MP4/WMV/H.264 player, MP3/WAV/WMA/eAAC+/FLAC player, Speakerphone",,"GPRS, EGDE, 3G (HSPA 21.1/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)",No,microUSB v2.0,Yes + A-GPS support & Glonass,v4.0 with A2DP,,"5.0 MP, f/2.2, 23mm, LED flash",,,,,,720 x 1280 pixels (~267 ppi pixel density),5.5 Inches,,Mali-T720MP2,Exynos 7580 Octa,,"LTE band 1(2100), 3(1800), 7(2600)",HSDPA 900 / 2100,,"White, Black","Dual-SIM, Dual Standby, Micro-SIM",171 g,152.2 x 78.7 x 7.5 mm,,,,,,,,5,5.0,4.740903190544508
681,1541191552-933,QMobile,"QMobile
Noir Z10",Noir Z10,143,5 stars,1481.0,2900 mAh,up to 36 hrs,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Email, IM",HTML5,"3.5mm audio jack, Speakerphone","Accelerometer, Gyro, Proximity, Compass, Light","GPRS, EDGE, 3G HSPA 42.2/11.5 Mbps, 4G LTE Cat4 150/50 Mbps",No,microUSB,Yes + A-GPS support,v4.0 with A2DP,,"5.0 MP Camera, LED flash",,,,2.5D Touch Glass,Corning Gorilla Glass 3,1080 x 1920 pixels (~423 ppi pixel density),5.2 inches,,Mali-T720MP3,Mediatek MT6753,,LTE,WCDMA (900 / 2100),,Black,"Dual SIM, Dual Standby, Micro SIM",142 g,148.5 x 73.7 x 8.3 mm,,"Android OS, v5.1 (Lollipop) upgradable to v6.0 (Marshmallow)",,,,,,5,5.0,4.649060744265975
961,1541228482-50,Samsung Mobile,"Samsung
Galaxy J7 2016",Galaxy J7 2016,234,5 stars,1040.0,"Price in Rs: 26,999    Price in USD: $234",,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/WMV/H.264 player, MP3/WAV/WMA/eAAC+/FLAC player, Speaker Phone",,"GPRS, EDGE, 3G HSPA, 4G (LTE Cat4 150/50 Mbps)",Yes,microUSB v2.0,"Yes + A-GPS support & Glonass, BDS","v4.1, A2DP",,"5 MP Camera, f/1.9, LED flash",,,,,,720 x 1280 pixels (~267 ppi pixel density),5.5 Inches,,Mali-T830MP2,Exynos 7870 Octa,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)",HSDPA 850 / 900 / 1900 / 2100,,"White, Black, Gold, Rose Gold","Dual-SIM, Dual Standby, Micro-SIM",170 g,151.7 x 76 x 7.8 mm,,,,,,,,5,5.0,4.538829824195672
968,1541228345-30,Samsung Mobile,"Samsung
Galaxy S5",Galaxy S5,,4.7 stars,2206.0,,,,,,,,,,,,,,,,,,,,,,"1080 x 1920 pixels, 5.1 inches (~432 ppi pixel density), Corning Gorilla Glass 3
, Touch Wiz UI
Sensors: Accelerometer, gyro, proximity, compass, barometer, temperature, humidity, gesture, heart rate",HTML5,,,,LTE,,"Bluetooth  v4.0 with A2DP, EDR, LE, USB (microUSB v3.0 (MHL 2), USB On-the-go, USB Host), WLAN (Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot), GPRS, EDGE, 3G (HSDPA, 42.2 Mbps; HSUPA, 5.76 Mbps), 4G (LTE, Cat4, 50 Mbps UL, 150 Mbps DL)","Black, White, Blue, Gold",,145 g,,"1080 x 1920 pixels, 5.1 inches (~432 ppi pixel density), Corning Gorilla Glass 3
, Touch Wiz UI
Sensors: Accelerometer, gyro, proximity, compass, barometer, temperature, humidity, gesture, heart rate",142 x 72.5 x 8.1 mm,,,,,,4.7,4.7,4.490551390338803
955,1541228225-15,Samsung Mobile,"Samsung
Galaxy A5 2016",Galaxy A5 2016,0,5 stars,840.0,,,Yes,Built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat6 300/50 Mbps)",Yes,microUSB v2.0,Yes + A-GPS support & Glonass,v4.1 with A2DP,,"5.0 MP, f/1.9, 24mm, 1080p","Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot",,,,Corning Gorilla Glass 4 back panel,1080 x 1920 pixels (~424 ppi pixel density),5.2 Inches,,Mali-T720MP2,Exynos 7580 Octa,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",HSDPA 850 / 900 / 1900 / 2100,,Various,"Dual Sim, Dual Standby (Nano-SIM)",155 g,144.8 x 71 x 7.3 mm,,,,,,,,5,5.0,4.462223482699938
959,1541228491-52,Samsung Mobile,"Samsung
Galaxy J7 Prime",Galaxy J7 Prime,251,4.9 stars,990.0,,up to 84 hrs,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, Xvid/DivX/MP4/H.265 player, MP3/WAV/eAAC+/FLAC player, Speaker Phone",,"GPRS, EGDE, 3G HSPA, 4G (LTE Cat4 150/50 Mbps)",No,"microUSB v2.0, USB On-The-Go","Yes + A-GPS support & Glonass, BDS (market dependent)","v4.1 with A2DP, LE",,"8MP Camera, f/1.9",,,"13 MP, autofocus, LED flash",,Corning Gorilla Glass (market dependent),1080 x 1920 pixels (~401 ppi pixel density),5.5 Inches,,Mali-T830MP2,Exynos 7870 Octa,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)",HSDPA 850 / 900 / 1900 / 2100,,"Black, Gold","Dual Sim, Dual Standby (Nano-SIM)",167 g,151.7 x 75 x 8 mm,,Android OS V6.0.1 (Marshmallow),,,,,,4.9,4.9,4.4486832150448485
1017,1541230605-192,OPPO Mobile,"Oppo
F1s",F1s,,4.8 stars,996.0,,,,,,,,,,,,,,,,,,,,,,"5.5 inches, 720 x 1280 pixels (~267 ppi pixel density)

Sensors: Accelerometer, proximity, compass, Fingerprint",HTML5,"1.5 GHz Octa-core Cortex-A53, Mediatek MT6750

GPU: Mali-T860MP2",,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",,"Bluetooth v4.0, USB (microUSB v2.0, USB Host), WLAN (Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat6 300/50 Mbps)","Gold, Rose Gold, Gray","SIM1: GSM 900 / 1800 / 1900

SIM2: GSM 900 / 1800 / 1900",160 g,,,154.5 x 76 x 7.4 mm,,,,,,4.8,4.8,4.377439024390238
930,1541228461-47,Samsung Mobile,"Samsung
Galaxy J5 2016",Galaxy J5 2016,195,4.8 stars,931.0,,,Yes,built-in + downloadable,"SMS(threaded view), MMS, Email, Push Mail, IM",HTML5,"3.5mm Audio Jack, MP4/WMV/H.264 player, MP3/WAV/WMA/eAAC+/FLAC player, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 21.1/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)",Yes,microUSB v2.0,Yes + A-GPS support & Glonass,v4.1 with A2DP,,"5 MP Camera, f/1.9, LED flash",,,,,,720 x 1280 pixels (~282 ppi pixel density),5.2 Inches,,Adreno 306,Qualcomm MSM8916 Snapdragon 410,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",HSDPA 850 / 900 / 1900 / 2100,,"White, Black, Gold, Rose Gold","Dual-SIM, Dual Standby, Micro-SIM",159 g,145.8 x 72.3 x 8.1 mm,,,,,,,,4.8,4.8,4.356229400131833
1001,1541230646-198,OPPO Mobile,"Oppo
F3",F3,259,5 stars,588.0,,,Yes,built-in + downloadable,"SMS (threaded view), MMS, Email, Push Email",HTML5,"3.5mm Audio Jack, MP4/H.264/FLAC player, MP3/eAAC+/WAV player, Speaker Phone",,"GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE-A (2CA) Cat6 300/50 Mbps)",No,microUSB v2.0,Yes + A-GPS support,v4.0 with A2DP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","Dual 16 MP + 8 MP, f/2.0, 1/3","13 MP, autofocus, LED flash","microSD Card, (supports upto 128GB)","64GB Built-in, 4GB RAM",Maximum Brightness: 500 nit,Corning Gorilla Glass 5,1080 x 1920 Pixels (~401 PPI),5.5 Inches,"IPS LCD Capacitive Touchscreen, 16M Colors",Mali T860-MP2,Mediatek MT6750T,1.5 Ghz Octa Core,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)",HSDPA 850 / 900 / 1700 / 1900 / 2100,"SIM1: GSM 900 / 1800 / 1900
SIM2: GSM 900 / 1800 / 1900","Gold, Black, Rose Gold","Dual-SIM, Dual Standby, Nano-SIM",153 g,153.3 x 75.24 x 7.3mm,ColorOS 3.0,Android V6.0 (Marshmallow),,,,,,5,5.0,4.319870875179332
954,1541228440-43,Samsung Mobile,"Samsung
Galaxy Grand Prime Plus",Galaxy Grand Prime Plus,,4.8 stars,779.0,,,,,,,,,,,,,,,,,,,,,,"5.0 Inches, 540 x 960 pixels (~220 ppi pixel density)

Sensors: Accelerometer, proximity",HTML5,"1.4 GHz Quad-Core Cortex-A53, Mediatek MT6737T

GPU: Mali-T720MP2",,,LTE,,"Bluetooth v4.0 with A2DP, USB (microUSB v2.0, USB On-The-Go), WLAN (Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot), GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G (LTE Cat4 150/50 Mbps)","White, Gray, Gold","SIM1: 850 / 900 / 1800 / 1900

SIM2: 850 / 900 / 1800 / 1900",160 g,,,144.8 x 72.1 x 8.9 mm,,,,,,4.8,4.8,4.297215287113495
